Name,City,Address,Nosach,shacharit_prayer,mincha_prayer,Aravit_prayer,Shacharit_Shabat_prayer,Mincha_Shabat_prayer,Aravit_Shabat_prayer,Access_disabled,women,Bar_mitzvah,Code
 היכל יצחק דוד, אור יהודה, דוד אלעזר 10 אור,עדות המזרח,07:00,17:00,,,,,FALSE,TRUE,FALSE,5
 היכל שלמה, אור יהודה, ההגנה אור,יוצאי לוב,06:00,,,07:30,,,TRUE,TRUE,TRUE,5
 היכל שמואל, אור יהודה, שרת 11 אור,עדות המזרח,,,,,,,FALSE,TRUE,FALSE,5
 יגדיל תורה, אור יהודה, הרצל אור,ספרד,05:45,,,,,,FALSE,TRUE,TRUE,5
 יד לבנים עולי גרוזיה, אור יהודה, סביון אור,עדות המזרח,05:30,,,,,,FALSE,TRUE,TRUE,5
 יחזקאל צדוק יל, אור יהודה, ספיר שכונת נוה סביון 7 אור,עדות המזרח,06:00,16:25,17:00,06:45,13:00,,TRUE,TRUE,TRUE,5
 כתר מנחם, אור יהודה, יקותיאל אדם 31 אור,עדות המזרח,06:00,,,07:00,,,TRUE,TRUE,TRUE,5
 מצלאוי, אור יהודה, ניצן 3 אור,ספרד,06:00,,,,,,TRUE,TRUE,TRUE,5
 משכן שמעון, בת ים, פנקס 2 בת,מרוקו,07:00,18:56,19:26,,,,TRUE,TRUE,TRUE,5
 נווה שלום, אור יהודה, יקותיאל אדם 31 אור,עדות המזרח,,,,07:00,,,TRUE,TRUE,TRUE,5
 נתיב שמיים, אור יהודה, איילת השחר אור,ספרד,07:00,,,,,,TRUE,TRUE,FALSE,5
 עולי בבל, אור יהודה, יוסף חיים אור,עדות המזרח,,,,08:00,,,TRUE,TRUE,TRUE,5
 עולי לבנון, אור יהודה, יקותיאל אדם 31 אור,עדות המזרח,,,,07:00,,,TRUE,TRUE,TRUE,5
 עטרת כוהנים, אור יהודה, המעפילים 3 אור,עדות המזרח,06:20,13:15,19:25,06:20,13:00,,FALSE,TRUE,TRUE,5
 עץ חיים אלגריבה, אור יהודה, סמטת חברון אור,יוצאי לוב,05:00,18:21,19:11,07:45,13:00,,TRUE,TRUE,TRUE,5
 צמח צדק, אור יהודה, יקותיאל אדם 31 אור,עדות המזרח,05:00,,,07:00,,,TRUE,TRUE,TRUE,5
 שבת אחים - השיכונים, אור יהודה, שד´ מרדכי בן פורת 26 אור,יוצאי לוב,,,,,,,FALSE,TRUE,FALSE,5
 שער רחמים ( חסיד ), אור יהודה, ז´בוטינסקי 9 אור,,,,,,,,TRUE,TRUE,TRUE,5
" ""נצח אליהו""", אור עקיבא, סייג חוואטו אור,ספרד,,,,,,,TRUE,TRUE,TRUE,3
 אהבת שלום, אור עקיבא, קנדי אור,עדות המזרח,,,,,,,TRUE,TRUE,FALSE,3
 בן לולו, אור עקיבא, חיי טייב אור,ספרד,05:15,15:00,,,,,FALSE,TRUE,FALSE,3
 הודים, אור עקיבא, עליזה יאנסן אור,לפי החזן,,,,,,,FALSE,FALSE,FALSE,3
 היכל דוד, רמת גן," התע""ש 10 (בנין בית הקרן) רמת",לפי החזן,,12:30,,,,,FALSE,FALSE,FALSE,5
 יקותיאל אדם, אור עקיבא, עליזה יאנסן אור,לפי החזן,,,,,,,FALSE,TRUE,TRUE,3
 מיזוג גלויות-הפועל המזרחי, אור עקיבא, הרב קוק אור,ספרד,,,,,,,FALSE,TRUE,TRUE,3
 עדת ישורון, אור עקיבא, הלל אור,ספרד,,,,07:30,,,FALSE,TRUE,TRUE,3
 עזרת אחים, אור עקיבא, הרצל 22 אור,עדות המזרח,06:00,,,,,,FALSE,FALSE,FALSE,3
 עטרת יצחק, אור עקיבא, הגיבורים אור,עדות המזרח,,,,,,,FALSE,TRUE,TRUE,3
 קדושים, אור עקיבא, בן יהודה אור,ספרד,08:30,,,08:30,,,FALSE,TRUE,FALSE,3
 קול יעקב, אור עקיבא, בלפור אור,מרוקו,08:00,,,,,,FALSE,FALSE,FALSE,3
 שיח יצחק, אור עקיבא, הגבורים 10 אור,מרוקו,05:30,19:00,20:00,,,,TRUE,TRUE,TRUE,3
 שערי צדק, אור עקיבא, דוד המלך אור,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,3
 נוף אורנית, אורנית, עצמון,לפי החזן,06:00,,,,,,TRUE,TRUE,TRUE,7
 היכל משה, אורנית, הזית 67 אורנית,אחיד,06:00,,21:00,08:30,,,TRUE,TRUE,TRUE,7
 חברנו, אורנית, הורד 10 אורנית,ספרד,,,,08:45,,,FALSE,TRUE,TRUE,7
" ""ציונוב"" - בית יוסף ונתן", אזור, ירושלים 143,עדות המזרח,06:45,,,,,,FALSE,TRUE,TRUE,5
 אגודת ישראל, אזור, שפינוזה,ספרד,09:00,,,,,,FALSE,TRUE,TRUE,5
" בית הכנסת ע""ש שבזי", אזור, שד בן גוריון 36,תימן,,,,,,,TRUE,TRUE,FALSE,5
" בית חב""ד", אזור, יצחק שדה 2,חבד,07:45,,,08:45,,,FALSE,TRUE,TRUE,5
 הדרת מלך, אזור, וייצמן 3,עדות המזרח,06:00,13:00,19:26,07:15,14:00,,FALSE,TRUE,TRUE,5
 הפועל המזרחי, אזור, יצחק שדה 2,ספרד,06:00,,,08:30,,,TRUE,TRUE,TRUE,5
 עץ חיים, אזור, יצחק שדה 9,ירושלמי,,,19:15,,,,FALSE,FALSE,FALSE,5
 שערי ירושלים, אזור, ירושלים 59,עדות המזרח,06:15,,,,,,TRUE,TRUE,TRUE,5
 שערי ציון-הכיפות, אזור, שפינוזה 2,עדות המזרח,06:00,,,07:15,,,FALSE,TRUE,TRUE,5
 שערי תשובה, אזור, ההגנה,עדות המזרח,,,,,,,FALSE,TRUE,TRUE,5
 המניין הספרדי, אחיהוד," כולל ""אהבת ישראל""",ספרד,,,,07:30,,,TRUE,TRUE,TRUE,2
 מגן דוד, אחיהוד,[],תימן,05:30,19:15,,,,,TRUE,TRUE,FALSE,2
 נחלת אחים, אחיהוד,[],תימן שאמי,05:45,,,,,,TRUE,TRUE,TRUE,2
 נצר שלום, אחיהוד, ליד המכולת,תימן שאמי,,,,,,,TRUE,TRUE,FALSE,2
" רמ""בם", אחיהוד,[],תימן שאמי,05:30,18:35,19:10,,,,TRUE,FALSE,FALSE,2
 שבזי, אחיהוד,[],תימן שאמי,,,,,,,TRUE,TRUE,TRUE,2
" שלוחי חב""ד", אחיהוד, השכונה החדשה 7,תימן,,,,,,,FALSE,FALSE,FALSE,2
 שבזי, אחיעזר, הרחבה,תימן שאמי,05:30,17:15,,,,,TRUE,FALSE,FALSE,4
 שערי צדק, אחיעזר, הדקל 100,תימן שאמי,06:45,,,,,,FALSE,FALSE,FALSE,4
" בית חב""ד", אילת, רודד 6,חבד,09:00,18:49,19:23,10:00,18:29,,FALSE,TRUE,TRUE,6
 גאולי תימן, אילת, שדרות התמרים,תימן שאמי,05:55,18:29,19:19,07:00,,,TRUE,TRUE,FALSE,6
 היכל שלמה, אילת, משעול הדס,עדות המזרח,05:45,19:00,20:00,,,,FALSE,TRUE,TRUE,6
 הישיבה התיכונית, אילת, איצטדיון 24,לפי החזן,08:00,13:15,19:45,,,,TRUE,FALSE,FALSE,6
 הליכות עולם, אילת, שדרות ירושלים-אילות,עדות המזרח,05:30,15:30,22:00,,,,FALSE,FALSE,FALSE,6
 המרכזי, אילת, שכונה א,ספרד,06:21,17:00,18:00,07:30,16:30,,TRUE,TRUE,TRUE,6
 חבד שחמון, אילת, נחל זרחן 6,חבד,08:15,18:49,19:19,09:00,,,TRUE,TRUE,TRUE,6
 חזון עובדיה, אילת," זהרון (מעל ""מרכז עינת"") 11",עדות המזרח,,,,07:30,,,TRUE,TRUE,TRUE,6
 חסד לאברהם, אילת, לוס אנג'לס 5,עדות המזרח,06:45,16:30,17:30,07:30,16:15,,TRUE,TRUE,TRUE,6
 ישורון, אילת, המלחה 13,עדות המזרח,,,,,,,TRUE,TRUE,TRUE,6
 ישיבת איילת השחר, אילת, ששת הימים 180,לפי החזן,06:45,15:15,19:35,,,,TRUE,TRUE,FALSE,6
 מאור החיים, אילת, שדרות התמרים,ירושלמי,08:10,,,07:30,,,FALSE,TRUE,TRUE,6
 מזמור לאסף- בית מלון לאונרדו פלאזה, אילת, מלון לאונרדו פלאזה,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,6
 מלון ישרוטל המלך שלמה, אילת, דרך החוף הצפוני 8000,לפי החזן,,,,,,,TRUE,TRUE,FALSE,6
 מתימן יבוא, אילת,[],תימן בלדי,05:45,,,07:00,18:18,,FALSE,TRUE,FALSE,6
 נמל התעופה רמון, אילת, אילת,לפי החזן,,13:00,,,,,FALSE,FALSE,FALSE,6
 נצח ישראל, אילת, האגס 51,עדות המזרח,05:45,18:45,19:45,,,,TRUE,TRUE,TRUE,6
 פחד יצחק, אילת, נחשון,עדות המזרח,05:45,18:29,19:23,06:21,17:44,,TRUE,TRUE,TRUE,6
 צאלים, אילת, יהל,אחיד,,,,08:00,18:00,,FALSE,TRUE,TRUE,6
 רבי מאיר בעל הנס, אילת, מול מלון לב אילת,,,,,,,,TRUE,TRUE,FALSE,6
 רבי שמעון בר יוחאי, אילת, האגס צמוד לבית ספר גלים 51,מרוקו,05:00,,,,,,FALSE,TRUE,TRUE,6
" רמב""ם", אילת, משעול הפטל 1,מרוקו,05:00,16:30,17:30,07:30,18:11,,FALSE,TRUE,TRUE,6
 שוהם - מלכת שבא, אילת, מלון מלכת שבא,לפי החזן,07:00,,,,,,FALSE,TRUE,TRUE,6
 שיח ישראל, אילת, ששת הימים (פינת ארגמן) 180,עדות המזרח,06:00,19:00,19:45,07:30,,,FALSE,TRUE,TRUE,6
 שמחת ישראל, אילת, לוס אנג´לס 610,חסידי,06:00,,,,,,TRUE,TRUE,FALSE,6
 שערי צדק, אילת, שור. ליד דואר ג´,עדות המזרח,08:00,,,,,,TRUE,TRUE,TRUE,6
 שערי רפואה, אילת, בית חולים יוספטל,עדות המזרח,05:30,17:00,,,,,TRUE,FALSE,FALSE,6
 איתמר, איתמר,[],לפי החזן,06:00,18:46,,,,,TRUE,TRUE,FALSE,7
 אלומות, איתמר,[],לפי החזן,05:58,,,,,,FALSE,TRUE,FALSE,7
 הכל שמחה, איתן, מושב איתן,תוניס,,,,,,,TRUE,FALSE,TRUE,6
 אלון, אלון שבות,[],לפי החזן,06:00,,20:30,09:00,,,TRUE,TRUE,TRUE,7
 גבעות עולם, אלון מורה," שכונת אשדר (""גבעות עולם"") אלון",לפי החזן,,,20:15,05:39,,,FALSE,TRUE,FALSE,7
 היכל עמי, אלון מורה, אלון,עדות המזרח,,18:46,,,,,TRUE,TRUE,TRUE,7
 ישיבת אלון מורה, אלון מורה, שכונת נווה עפרה אלון,,07:00,13:15,,07:45,13:15,,TRUE,TRUE,FALSE,7
 משכן אריאל, אלון מורה, אלון,לפי החזן,06:30,,21:00,,,,FALSE,TRUE,FALSE,7
 עוד יוסף חי, אלון מורה, גבעת הברכה אלון,אשכנז,05:59,,,,,,FALSE,TRUE,TRUE,7
 רחמי תרצה, אלון מורה, אלון,ספרד,06:00,18:46,,07:45,,,TRUE,TRUE,TRUE,7
 שכונת נווה עפרה, אלון מורה, נווה עפרה - ליד הישיבה אלון,,06:15,18:30,22:45,07:00,,,TRUE,FALSE,FALSE,7
 תפארת אחים, אלון מורה, אלון,תימן,,,,,,,FALSE,TRUE,FALSE,7
 אלון שבות דרום, אלון שבות, קבוצת אברהם אלון,לפי החזן,06:00,13:15,19:27,06:45,12:45,,TRUE,TRUE,FALSE,7
 גבעת העץ, אלון שבות, אלון,לפי החזן,05:45,13:20,20:00,06:20,13:00,,TRUE,TRUE,FALSE,7
 ישיבת הר עציון, אלון שבות, הישיבה אלון,ספרד,07:00,15:00,19:15,07:30,,,TRUE,TRUE,FALSE,7
 ספרדי ועדות המזרח, אלון שבות, קבוצת אברהם אלון,עדות המזרח,06:01,,,07:30,,,TRUE,TRUE,FALSE,7
 תפילת שלמה, אלון שבות, אלון,תימן,,,,08:00,18:00,,TRUE,TRUE,FALSE,7
 אלוני הבשן, אלוני הבשן, אלוני,ספרד,06:00,18:30,20:15,08:00,,,TRUE,TRUE,TRUE,2
 חרבי, אליכין, הנורית,תימן שאמי,,,,,,,FALSE,TRUE,FALSE,4
 עטרת משה שאול, אליכין, מרכז מסחרי,לפי החזן,05:50,18:51,19:21,07:25,17:43,,TRUE,TRUE,TRUE,4
 שבת אחים, אליכין, מרכז ישוב,תימן שאמי,05:30,,,,,,FALSE,FALSE,FALSE,4
 שערי ציון, אליכין, מרכז הישוב,תימן שאמי,05:30,18:31,,,,,FALSE,FALSE,FALSE,4
 בית כנסת, אליקים, מושב קטן עם 7 בתי כנסת. להכנס ולשאול איפה,תימן,05:45,18:53,,,,,FALSE,TRUE,TRUE,2
 אוהל יעקב, אלישמע, האילנות 87,יוצאי לוב,,,,,,,FALSE,FALSE,FALSE,4
  חניכי הישיבות קהילת חפץ חיים, אלעד, חוני המעגל 9,אשכנז,07:00,15:45,00:30,,18:16,,FALSE,FALSE,FALSE,4
 אור לציון, אלעד, חוני המעגל 1,ירושלמי,,,,08:00,,,TRUE,TRUE,FALSE,4
 אחוות אחים, אלעד, רבי פנחס בן יאיר 22,תימן שאמי,05:45,18:50,,07:00,15:30,,TRUE,TRUE,FALSE,4
 ארזי הלבנון, אלעד, ניסים גאון,ספרד,06:00,,20:30,08:30,13:15,,FALSE,TRUE,FALSE,4
 בית דוד ושלמה, אלעד, ר´ יוחנן בן זכאי,תימן,,,,07:00,,,FALSE,FALSE,FALSE,4
 בית הלל, אלעד," מול הרד""ק",אשכנז,08:00,18:50,19:20,,,,FALSE,FALSE,FALSE,4
 בית יוסף, אלעד, שמעון הצדיק 21,ירושלמי,,,,,,,TRUE,TRUE,FALSE,4
 בית מאור, אלעד, אבן גבירול 20,מרוקו,06:55,18:00,21:00,07:30,18:00,,TRUE,TRUE,FALSE,4
 בית מאיר, אלעד, שמעון הצדיק 18,ירושלמי,,,19:45,07:45,18:00,,TRUE,TRUE,FALSE,4
" בית מנחם חב""ד ליובאוויטש", אלעד, אבטליון 11,חבד,08:30,,,,,,FALSE,TRUE,FALSE,4
 ברסלב-שאירת ישראל, אלעד," הרא""ש 1",חסידי,05:49,,,08:00,18:15,,FALSE,TRUE,FALSE,4
 דרך החיים, אלעד, רבי מאיר,אשכנז,,,,,,,FALSE,TRUE,FALSE,4
 היכל משה, אלעד," הרי""ף",אשכנז,,,20:20,,,,FALSE,TRUE,FALSE,4
 ויז´ניץ, אלעד, יוסף קארו 5,חסידי,07:15,,21:05,,,,FALSE,FALSE,FALSE,4
 זכור לאברהם, אלעד, רבי יהודה הנשיא 9,לפי החזן,05:34,13:20,19:40,,,,FALSE,TRUE,FALSE,4
 חזון נריה, אלעד, בן יאיר,ספרד,06:30,,20:30,08:00,12:15,,TRUE,TRUE,FALSE,4
 חמדת מרדכי, אלעד, אבטליון,אחיד,05:50,18:50,19:05,,,,FALSE,TRUE,FALSE,4
 חניכי הישיבות חפץ חיים, אלעד, חוני המעגל 9,אשכנז,07:00,,,,,,FALSE,FALSE,FALSE,4
 חסד לאברהם - אור החיים, אלעד, אבטליון 11,עדות המזרח,,,,,,,TRUE,TRUE,FALSE,4
 חסידים, אלעד, שמאי,חסידי,06:50,,,,,,FALSE,TRUE,FALSE,4
 יביע אומר, אלעד, שמעון בן שטח,ספרד,,,,,,,FALSE,FALSE,FALSE,4
 לקח טוב, אלעד, שמאי 10,,,,,,,,FALSE,TRUE,FALSE,4
 מאור שרגא, אלעד, אבן גבירול,אשכנז,,,,,,,TRUE,TRUE,FALSE,4
 מנין בני תורה - משכן נחמיה, אלעד, רבי יוסי בן קיסמא 37,תימן,05:10,18:40,19:20,,,,TRUE,TRUE,FALSE,4
 מקום מקדש, אלעד, רבי יוסף קארו,תימן בלדי,,,,08:00,,,FALSE,TRUE,FALSE,4
 מקור חיים, אלעד, הרא´´ש,תימן בלדי,06:00,18:50,19:23,,,,FALSE,FALSE,FALSE,4
 מרכז דליה, אלעד," רמב""ן",ספרד,,,,,,,FALSE,TRUE,FALSE,4
 משכן יעקב וחנה, אלעד, רבי מאיר מעל המקווה,תימן שאמי,,,,,,,FALSE,TRUE,FALSE,4
 משכן ישראל, אלעד, חוני המעגל 5,תימן,06:30,,,,,,TRUE,TRUE,FALSE,4
 משכנות נריה, אלעד,[],עדות המזרח,06:00,18:50,19:25,08:00,13:30,,TRUE,TRUE,FALSE,4
 נר יוסף, אלעד, רבי חייא,עדות המזרח,05:49,13:00,19:10,,18:00,,TRUE,TRUE,FALSE,4
 סלבודקא, אלעד," רשב""י 13",ספרד,,,,,,,FALSE,FALSE,FALSE,4
 עוד יוסף חי, אלעד, רשי 7,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,4
 קול אליהו, אלעד, אבטליון,עדות המזרח,05:45,,,07:30,,,TRUE,TRUE,FALSE,4
 רעים, אלעד, שמעון הצדיק 43,תימן בלדי,,,,07:30,15:30,,TRUE,FALSE,FALSE,4
 שאל אביך ויגד לך, אלעד, רבי חיא 6,עדות המזרח,05:45,,,,,,FALSE,FALSE,FALSE,4
 שיח אליעזר, אלעד, המאירי,אשכנז,,,,,,,FALSE,FALSE,FALSE,4
 שירת הים, אלעד," הרי""ף-במתחם גני הילדים",ספרד,,,,08:30,18:40,,FALSE,TRUE,FALSE,4
 שירת נפתלי, אלעד, ר חייא,,08:10,,,,,,FALSE,FALSE,FALSE,4
 שמעון הצדיק-נוסח בלדי, אלעד, שמעון הצדיק 25,תימן בלדי,,,,,,,FALSE,FALSE,FALSE,4
" תפארת הרש""ש", אלעד," רשב""ם 7",תימן שאמי,,,,07:30,16:00,,FALSE,TRUE,FALSE,4
 תפילה למשה, אלעד, אבן גבירול,ספרד,,,,,,,TRUE,TRUE,FALSE,4
  נתיבי יוחאי, אלעזר, נתיבי אבות,לפי החזן,06:30,,21:00,08:15,17:30,,FALSE,FALSE,FALSE,7
